token,tag_true,tag_pred
а,O,O
именно,O,O
длины,B-TERM,O
ребра,I-TERM,O
ячейки,I-TERM,O
периодичности,I-TERM,O
и,O,O
характерного,B-TERM,O
размера,I-TERM,O
полной,I-TERM,B-TERM
термомеханической,I-TERM,I-TERM
системы,I-TERM,I-TERM
.,O,O
Проводится,O,O
процедура,B-TERM,O
усреднения,I-TERM,O
",",O,O
т,O,O
.,O,O
е,O,O
.,O,O
предельный,B-TERM,O
переход,I-TERM,O
в,O,O
уравнениях,B-TERM,B-TERM
модели,I-TERM,I-TERM
при,O,O
стремлении,B-TERM,O
малого,B-TERM,O
параметра,I-TERM,O
к,O,O
нулю,B-TERM,O
.,O,O
При,O,O
этом,O,O
предполагается,O,O
",",O,O
что,O,O
физические,B-TERM,O
характеристики,I-TERM,O
отдельных,O,O
фаз,B-TERM,O
от,O,O
малого,B-TERM,O
параметра,I-TERM,O
не,O,O
зависят,O,O
.,O,O
В,O,O
результате,O,O
конструируется,O,O
корректно,O,O
поставленная,O,O
начально,B-TERM,B-TERM
-,I-TERM,I-TERM
краевая,I-TERM,I-TERM
задача,I-TERM,O
для,O,O
модели,B-TERM,B-TERM
линейной,I-TERM,I-TERM
термовязкоупругости,I-TERM,I-TERM
с,I-TERM,O
памятью,I-TERM,O
формы,I-TERM,O
и,I-TERM,O
тепла,I-TERM,O
",",O,O
решением,O,O
которой,O,O
являются,O,O
пределы,B-TERM,O
решений,I-TERM,O
исходной,I-TERM,O
задачи,I-TERM,O
",",O,O
и,O,O
коэффициенты,B-TERM,O
которой,O,O
однозначно,O,O
определяются,O,O
микроструктурой,B-TERM,B-TERM
.,O,O
Усреднение,B-TERM,O
проводится,O,O
методом,B-TERM,O
двухмасштабной,I-TERM,O
сходимости,I-TERM,O
и,O,O
математически,O,B-TERM
строго,O,O
обосновано,O,O
.,O,O
Работа,O,O
посвящена,O,O
использованию,O,B-TERM
векторного,B-TERM,I-TERM
метода,I-TERM,I-TERM
конечных,I-TERM,I-TERM
элементов,I-TERM,I-TERM
для,O,O
моделирования,B-TERM,O
распространения,I-TERM,O
TE,I-TERM,O
-,I-TERM,O
волны,I-TERM,O
в,O,O
оптическом,B-TERM,B-TERM
волокне,I-TERM,I-TERM
.,O,O
При,O,O
анализе,O,O
полученных,O,O
численных,B-TERM,O
результатов,I-TERM,O
было,O,O
обнаружено,O,O
присутствие,O,O
ложных,O,O
решений,O,O
.,O,O
Анализ,O,O
аналитического,B-TERM,O
решения,I-TERM,O
данной,O,O
задачи,O,O
показал,O,O
",",O,O
что,O,O
ложные,O,O
решения,O,O
отличаются,O,O
наличием,O,O
ненулевой,O,B-TERM
Er,B-TERM,I-TERM
-,I-TERM,O
компоненты,B-TERM,O
и,O,O
не,O,O
удовлетворяют,O,O
условию,O,O
непрерывности,B-TERM,O
поля,I-TERM,O
H,I-TERM,O
на,O,O
границе,O,B-TERM
сердцевины,B-TERM,I-TERM
и,O,O
оболочки,B-TERM,B-TERM
волокна,I-TERM,O
.,O,O
Рассматриваются,O,O
неподвижные,B-TERM,B-TERM
точки,I-TERM,I-TERM
в,O,O
свободных,B-TERM,B-TERM
нильпотентных,I-TERM,I-TERM
группах,I-TERM,I-TERM
относительно,O,O
всех,O,B-TERM
автоморфизмов,B-TERM,I-TERM
этой,O,I-TERM
группы,B-TERM,I-TERM
.,O,O
Известно,O,O
",",O,O
что,O,O
такие,O,O
элементы,B-TERM,O
существуют,O,O
",",O,O
но,O,O
их,O,O
нахождение,O,O
является,O,O
технически,O,O
сложным,O,O
процессом,O,O
.,O,O
В,O,O
данной,O,O
работе,O,O
приведены,O,O
примеры,O,B-TERM
неподвижных,B-TERM,I-TERM
элементов,I-TERM,I-TERM
свободной,B-TERM,B-TERM
нильпотентной,I-TERM,I-TERM
группы,I-TERM,I-TERM
ступени,I-TERM,O
12,I-TERM,O
",",O,O
с,O,O
двумя,O,O
и,O,O
тремя,O,O
образующими,B-TERM,O
.,O,O
В,O,O
работе,O,O
исследуется,O,O
задача,B-TERM,O
восстановления,I-TERM,O
параметров,I-TERM,O
линейных,B-TERM,B-TERM
моделей,I-TERM,I-TERM
",",O,O
возникающих,O,O
при,O,O
дискретном,B-TERM,B-TERM
моделировании,I-TERM,I-TERM
динамики,O,I-TERM
генных,B-TERM,I-TERM
сетей,I-TERM,I-TERM
.,O,O
Решение,O,O
задачи,O,O
проводится,O,O
на,O,O
основе,O,O
известной,O,B-TERM
модификации,B-TERM,I-TERM
метода,B-TERM,I-TERM
обратной,I-TERM,I-TERM
итерации,I-TERM,I-TERM
.,O,O
Доказывается,O,O
сходимость,B-TERM,O
и,O,O
устанавливается,O,O
оценка,B-TERM,O
скорости,I-TERM,O
сходимости,I-TERM,O
метода,I-TERM,O
.,O,O
